
[17:43:29 UTC] [SUCCESS] {"required_plugins":{"active":[],"inactive":[],"notinstalled":[]},"third_party_required_plugins":[],"update_avilable_plugins":[],"incompatible_plugins":[],"error":false} | Context: {"required_plugins":{"active":[],"inactive":[],"notinstalled":[]},"third_party_required_plugins":[],"update_avilable_plugins":[],"incompatible_plugins":[],"error":false}
[17:43:29 UTC] [SUCCESS] {"permissions":{"is_readable":true,"is_writable":true,"is_wp_filesystem":true},"directory":"\/Users\/joanraez\/Local Sites\/alquipress\/app\/public\/wp-content\/uploads"} | Context: {"permissions":{"is_readable":true,"is_writable":true,"is_wp_filesystem":true},"directory":"\/Users\/joanraez\/Local Sites\/alquipress\/app\/public\/wp-content\/uploads"}
[10:35:10 UTC] [INFO] Checking if plugin directory clearing is needed
[10:35:10 UTC] [INFO] Checking if plugin directory clearing is needed
[10:35:15 UTC] [INFO] Checking if plugin directory clearing is needed
[10:35:15 UTC] [INFO] Checking if plugin directory clearing is needed
[13:41:16 UTC] [INFO] Checking if plugin directory clearing is needed
[14:09:54 UTC] [INFO] Checking if plugin directory clearing is needed
[14:09:54 UTC] [INFO] Checking if plugin directory clearing is needed
[14:10:02 UTC] [INFO] Checking if plugin directory clearing is needed
[14:10:05 UTC] [INFO] Checking if plugin directory clearing is needed
[14:10:08 UTC] [INFO] Checking if plugin directory clearing is needed
[14:10:16 UTC] [INFO] Checking if plugin directory clearing is needed
[14:10:16 UTC] [INFO] Checking if plugin directory clearing is needed
[14:10:16 UTC] [INFO] Checking if plugin directory clearing is needed
[14:10:19 UTC] [INFO] Checking if plugin directory clearing is needed
[08:43:01 UTC] [INFO] Checking if plugin directory clearing is needed
[08:43:32 UTC] [INFO] Checking if plugin directory clearing is needed
[08:43:45 UTC] [INFO] Checking if plugin directory clearing is needed
