TYPE,CONTENT,DESCRIPTION,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE
section,"Sprint 0 (2026-02-09 a 2026-02-13)","Alineacion tecnica y preparacion",1,1,,,,
task,"Decidir coexistencia entre product y impress_property","Bloqueante para la estrategia de datos y migracion",4,1,,,"2026-02-10",es,Europe/Madrid
task,"Definir arquitectura de licenciamiento SaaS","Elegir modelo plugin cliente + servidor de licencias",4,1,,,"2026-02-11",es,Europe/Madrid
task,"Definir arquitectura del panel frontend de agente","Elegir stack y estrategia de autenticacion",3,1,,,"2026-02-12",es,Europe/Madrid
task,"Aprobar documento de decisiones y backlog refinado","Gate de salida Sprint 0",4,1,,,"2026-02-13",es,Europe/Madrid
section,"Sprint 1 (2026-02-16 a 2026-02-27)","Fundacion de dominio Inmopress",1,1,,,,
task,"Crear modulo inmopress-cpts en alquipress-core","Namespace y bootstrap del modulo de entidades CRM",4,1,,,"2026-02-16",es,Europe/Madrid
task,"Registrar CPT impress_property","Entidad propiedad del CRM inmobiliario",4,1,,,"2026-02-17",es,Europe/Madrid
task,"Registrar CPT impress_client e impress_lead","Entidades comerciales base",4,1,,,"2026-02-18",es,Europe/Madrid
task,"Registrar CPT impress_event","Entidad unica para visita/llamada/tarea/email/reunion",4,1,,,"2026-02-19",es,Europe/Madrid
task,"Registrar CPT impress_owner e impress_agent","Entidades de propietarios y agentes",4,1,,,"2026-02-20",es,Europe/Madrid
task,"Registrar CPT impress_agency e impress_promotion","Entidades de agencia y promociones",4,1,,,"2026-02-23",es,Europe/Madrid
task,"Crear modulo inmopress-taxonomies","Taxonomias SEO y de operacion",4,1,,,"2026-02-24",es,Europe/Madrid
task,"Registrar taxonomias impress_city e impress_area","Ubicacion SEO",4,1,,,"2026-02-24",es,Europe/Madrid
task,"Registrar taxonomias impress_property_type e impress_operation","Tipologia y operacion",4,1,,,"2026-02-25",es,Europe/Madrid
task,"Registrar taxonomia impress_feature","Caracteristicas filtrables",4,1,,,"2026-02-25",es,Europe/Madrid
task,"Crear ACF JSON MVP para property owner client lead event","Estructura minima de campos por entidad",4,1,,,"2026-02-26",es,Europe/Madrid
task,"Validar entidades y taxonomias con WP-CLI","Comprobar que aparecen en post-type list y taxonomy list",4,1,,,"2026-02-27",es,Europe/Madrid
section,"Sprint 2 (2026-03-02 a 2026-03-13)","Roles, permisos y multi-tenant base",1,1,,,,
task,"Crear modulo roles-permissions","Base de seguridad por rol",4,1,,,"2026-03-02",es,Europe/Madrid
task,"Crear roles agencia agente trabajador cliente","Roles objetivo de Inmopress",4,1,,,"2026-03-03",es,Europe/Madrid
